"","cond((Int))","disp((Int))","cond(p_honey_bee)","cond(sumvisits)","cond(VISIT1)","cond(p_honey_bee:sumvisits)","cond(p_honey_bee:VISIT1)","cond(sumvisits:VISIT1)","cond(p_honey_bee:sumvisits:VISIT1)","df","logLik","AICc","delta","weight"
"3",2.26310399908547,"+",NA,0.0695285828349819,NA,NA,NA,NA,NA,4,-397.232198256459,802.626339832757,0,0.330042581855779
"7",2.30488812658401,"+",NA,0.0707441630151847,"+",NA,NA,NA,NA,5,-396.757563063563,803.759028566151,1.13268873339428,0.187331039289605
"4",2.16452107967992,"+",0.128019528349116,0.0713174420174796,NA,NA,NA,NA,NA,5,-397.07210086329,804.388104165604,1.76176433284695,0.136775311257764
"39",2.23433020957963,"+",NA,0.0806631695918735,"+",NA,NA,"+",NA,6,-396.513174718042,805.369206578941,2.7428667461844,0.083745991675645
"8",2.36555741867416,"+",-0.0668068737799954,0.0700730875705728,"+",NA,NA,NA,NA,6,-396.736833362623,805.816523868102,3.19018403534551,0.0669622926297045
"12",2.30708902038271,"+",-0.116312505456381,0.0452921365022496,NA,0.0443502504376786,NA,NA,NA,6,-396.737015850318,805.816888843493,3.19054901073582,0.0669500739501733
"16",2.49280073850695,"+",-0.2914461310125,0.0452701697792842,"+",0.042348898263238,NA,NA,NA,7,-396.431473902492,807.321964198428,4.69562436567071,0.0315448233928019
"40",2.21273824993713,"+",0.0211148603585181,0.0812141762896495,"+",NA,NA,"+",NA,7,-396.511385241245,807.481786875933,4.85544704317635,0.0291221240071515
"24",2.49486998000612,"+",-0.199998030306179,0.0677736627899257,"+",NA,"+",NA,NA,7,-396.657924732131,807.774865857705,5.14852602494784,0.0251525345697385
"32",2.63127512507538,"+",-0.435484348991557,0.0424724765722883,"+",0.0429784048221944,"+",NA,NA,8,-396.343281312629,809.27915521785,6.6528153850935,0.0118557619453181
"48",2.4602571313549,"+",-0.258379179794075,0.0491132162625387,"+",0.0383379021711265,NA,"+",NA,8,-396.430160259064,809.45291311072,6.82657327796369,0.0108692211048794
"56",2.33534075880251,"+",-0.103193894652678,0.0787950729095493,"+",NA,"+","+",NA,8,-396.445417390482,809.483427373558,6.85708754080076,0.0107046466297219
"64",2.63403097225866,"+",-0.438288308818963,0.0421643240035443,"+",0.0432970781259419,"+","+",NA,9,-396.343273191406,811.430348035705,8.80400820294813,0.00404393238258193
"128",2.36284524118313,"+",-0.124094052676029,0.0762136194901259,"+",0.00140936261901954,"+","+","+",10,-396.234213925092,813.381290920724,10.7549510879668,0.00152462143222624
"1",2.75764455762217,"+",NA,NA,NA,NA,NA,NA,NA,3,-403.662937955648,813.422650104844,10.7963102720875,0.00149341664612581
"5",2.7965289864979,"+",NA,NA,"+",NA,NA,NA,NA,4,-403.391473480213,814.944890280263,12.3185504475064,0.000697638972301131
"2",2.75813917779141,"+",-0.000734028980115779,NA,NA,NA,NA,NA,NA,4,-403.66293281961,815.487808959058,12.8614691263012,0.000531786662136829
"6",3.01684242029735,"+",-0.261791222050489,NA,"+",NA,NA,NA,NA,5,-403.082733181403,816.40936880183,13.7830289690735,0.000335446498758631
"22",3.39031106842969,"+",-0.701287162352307,NA,"+",NA,"+",NA,NA,6,-402.090589393514,816.524035929885,13.8976960971287,0.000316755097587222
